Sensitivity/Biomass Scaled Average (tonne/day);Sensitivity/Biomass Price ($/tonne);Sensitivity/Biomass Gasification Ratio (kg/kg);Architecture/LR6-72 (kW);Architecture/Bio (kW);Architecture/Grid (kW);Architecture/Conv (kW);Architecture/Dispatch;Cost/NPC ($);Cost/LCOE ($/kWh);Cost/Operating cost ($/yr);Cost/CAPEX ($);Cost/Fuel cost ($/yr);Cost/OPEX ($/yr);System/Ren Frac (%);System/Total Fuel (tons/yr);System/Elec Prod (kWh/yr);System/Elec Cons (kWh/yr);System/Clipped Energy (%);System/Clipped Energy (kWh/yr);System/Excess Therm (kWh/yr);System/Unmet load (%);System/Unmet load (kWh/yr);System/CO₂ (kg/yr);System/MRP (%);Project Economics/Present Worth ($);Project Economics/ROI (%);Project Economics/IRR (%);Project Economics/Simple Payback (yr);Bio/Capacity;Bio/Hours;Bio/Production (kWh);Bio/Fuel (tons);Bio/O&M Cost ($/yr);Bio/Fuel Cost ($/yr);LR6-72/PV Capacity (kW);LR6-72/Inverter Capacity (kW);LR6-72/CAPEX;LR6-72/Energy Production (kWh/yr);Conv/Capacity;Conv/Rectifier Mean Output (kW);Conv/Inverter Mean Output (kW);Grid/Capacity;Grid/MonthlyCapacity;Grid/Energy Purchased (kWh);Grid/Energy Sold (kWh)
10;1;0.04255;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;;;;;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
1;0;0.04255;653.306.618.619.183;10;999999;443.822.339.451.668;CC;1725420;0.1813285;93398.1;1229334;0;93238.1;5.001.252;3.649.167;1846513;1791472;0.4471074;8.255.897;0;0;0;382285.2;1.297.034;;;;;10;1459;7.034;3.649.167;145.9;0;653.306.618.619.183;0;1175952;943967.5;443.822.339.451.668;0;1.014.756;999999;;895511.5;291686.7
5;1;0.04255;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;;;;;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
1;1;0.04255;653.306.618.619.183;10;999999;443.822.339.451.668;CC;1727358;0.1815322;93763.02;1229334;3.649.167;93238.1;5.001.252;3.649.167;1846513;1791472;0.4471074;8.255.897;0;0;0;382285.2;1.297.034;;;;;10;1459;7.034;3.649.167;145.9;3.649.167;653.306.618.619.183;0;1175952;943967.5;443.822.339.451.668;0;1.014.756;999999;;895511.5;291686.7
1;1;0.0851;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;;;;;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
1;2;0.04255;653.306.618.619.183;10;999999;443.822.339.451.668;CC;1729297;0.1817359;94127.94;1229334;7.298.333;93238.1;5.001.252;3.649.167;1846513;1791472;0.4471074;8.255.897;0;0;0;382285.2;1.297.034;;;;;10;1459;7.034;3.649.167;145.9;7.298.333;653.306.618.619.183;0;1175952;943967.5;443.822.339.451.668;0;1.014.756;999999;;895511.5;291686.7
10;1;0.0851;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;-191149.1;0.6155361;1.152.229;1.966.501;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
1;5;0.0851;64.406.130.330.554;10;999999;543.378.194.622.067;CC;1732028;0.1822098;95900.88;1222648;1.649.647;93025.86;5.007.233;3.299.295;1836164;1789634;3,36E-10;6,17E-06;0;9,48E-13;1,42E-08;382125.5;1.052.632;;;;;10;4011;12033;3.299.295;401.1;1.649.647;64.406.130.330.554;0;1159310;930608.9;543.378.194.622.067;0;1.009.222;999999;;893522.4;289848.9
5;1;0.0851;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;;;;;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
10;5;0.0851;64.406.130.330.554;10;999999;543.378.194.622.067;CC;1732042;0.1822114;95903.61;1222648;1.651.293;93025.06;5.007.301;3.302.585;1836164;1789634;3,36E-10;6,17E-06;0;9,48E-13;1,42E-08;382118.6;1.052.632;;;;;10;4015;12045;3.302.585;401.5;1.651.293;64.406.130.330.554;0;1159310;930608.9;543.378.194.622.067;0;1.009.222;999999;;893510.4;289848.9
1;2;0.04255;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;;;;;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
5;5;0.0851;64.406.130.330.554;10;999999;543.378.194.622.067;CC;1732042;0.1822114;95903.61;1222648;1.651.293;93025.06;5.007.301;3.302.585;1836164;1789634;3,36E-10;6,17E-06;0;9,48E-13;1,42E-08;382118.6;1.052.632;;;;;10;4015;12045;3.302.585;401.5;1.651.293;64.406.130.330.554;0;1159310;930608.9;543.378.194.622.067;0;1.009.222;999999;;893510.4;289848.9
10;2;0.04255;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;;;;;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
10;3;0.04255;64.406.130.330.554;10;999999;543.378.194.622.067;CC;1733796;0.1823959;96233.88;1222648;1.981.551;93025.06;5.007.301;660.517;1836164;1789634;3,36E-10;6,17E-06;0;9,48E-13;1,42E-08;382723;1.052.632;;;;;10;4015;12045;660.517;401.5;1.981.551;64.406.130.330.554;0;1159310;930608.9;543.378.194.622.067;0;1.009.222;999999;;893510.4;289848.9
5;2;0.04255;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;;;;;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
